,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1364.616,82.533,265.164,1629.780
1,"(0, 0, 1)",1129.034,82.428,454.582,1583.616
2,"(0, 0, 2)",664.674,68.215,448.280,1112.954
3,"(0, 0, None)",555.149,114.905,229.810,784.959
4,"(0, 1, 0)",535.530,78.856,397.694,933.224
5,"(0, 1, 1)",535.530,78.856,713.118,1248.648
6,"(0, 1, 2)",534.961,69.553,491.516,1026.477
7,"(0, 1, None)",535.530,78.856,239.982,775.512
8,"(0, None, 0)",1255.493,82.617,100.896,1356.389
9,"(0, None, 1)",555.149,114.905,689.430,1244.579
10,"(0, None, 2)",552.225,79.891,452.060,1004.285
11,"(0, None, None)",555.149,114.905,0.000,555.149
12,"(None, 0, 0)",1792.369,62.741,53.914,1846.283
13,"(None, 0, 1)",1507.093,61.110,37.324,1544.417
14,"(None, 0, 2)",983.499,65.289,38.514,1022.013
15,"(None, 0, None)",1528.330,105.189,-0.000,1528.330
16,"(None, 1, 0)",1286.984,65.807,53.060,1340.044
17,"(None, 1, 1)",984.064,65.807,120.204,1104.268
18,"(None, 1, 2)",539.440,65.807,200.340,739.780
19,"(None, 1, None)",537.761,111.454,-0.000,537.761
20,"(None, None, 0)",2213.480,89.810,0.000,2213.480
21,"(None, None, 1)",1557.426,106.883,0.000,1557.426
22,"(None, None, 2)",540.040,111.531,0.000,540.040
