,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",974.726,59.535,192.900,1167.626
1,"(0, 0, 1)",806.454,59.460,330.530,1136.984
2,"(0, 0, 2)",474.766,48.725,320.200,794.966
3,"(0, 0, None)",396.536,82.075,164.150,560.686
4,"(0, 1, 0)",382.522,56.880,289.610,672.132
5,"(0, 1, 1)",382.522,56.880,517.130,899.652
6,"(0, 1, 2)",382.115,50.815,371.500,753.615
7,"(0, 1, None)",382.522,56.880,175.850,558.372
8,"(0, None, 0)",896.780,59.595,74.400,971.180
9,"(0, None, 1)",396.536,82.075,492.450,888.986
10,"(0, None, 2)",394.446,57.065,322.900,717.346
11,"(0, None, None)",396.536,82.075,0.000,396.536
12,"(None, 0, 0)",1431.551,47.005,33.180,1464.731
13,"(None, 0, 1)",1142.839,46.095,26.980,1169.819
14,"(None, 0, 2)",702.498,46.635,27.510,730.008
15,"(None, 0, None)",1155.155,79.610,0.000,1155.155
16,"(None, 1, 0)",1031.998,47.005,28.620,1060.618
17,"(None, 1, 1)",702.904,47.005,85.860,788.764
18,"(None, 1, 2)",385.315,47.005,143.100,528.415
19,"(None, 1, None)",384.117,79.610,0.000,384.117
20,"(None, None, 0)",1828.105,74.065,0.000,1828.105
21,"(None, None, 1)",1146.092,78.790,0.000,1146.092
22,"(None, None, 2)",385.742,79.665,0.000,385.742
