,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1470.393,94.032,308.608,1779.001
1,"(0, 0, 1)",1290.326,93.912,516.608,1806.934
2,"(0, 0, 2)",759.627,77.960,512.320,1271.947
3,"(0, 0, None)",634.458,131.320,262.640,897.098
4,"(0, 1, 0)",612.037,89.844,451.736,1063.773
5,"(0, 1, 1)",612.037,89.844,811.112,1423.149
6,"(0, 1, 2)",611.384,78.922,551.524,1162.908
7,"(0, 1, None)",612.037,89.844,272.048,884.085
8,"(0, None, 0)",1246.164,90.920,116.656,1362.820
9,"(0, None, 1)",634.458,131.320,787.920,1422.378
10,"(0, None, 2)",631.115,91.304,516.640,1147.755
11,"(0, None, None)",634.458,131.320,0.000,634.458
12,"(None, 0, 0)",1783.665,59.704,45.152,1828.817
13,"(None, 0, 1)",1598.071,65.760,42.512,1640.583
14,"(None, 0, 2)",1003.068,74.616,60.304,1063.372
15,"(None, 0, None)",1625.410,111.872,0.000,1625.410
16,"(None, 1, 0)",1458.401,75.208,61.328,1519.729
17,"(None, 1, 1)",1060.949,75.208,162.048,1222.997
18,"(None, 1, 2)",616.502,75.208,228.960,845.462
19,"(None, 1, None)",614.585,127.376,0.000,614.585
20,"(None, None, 0)",2214.772,89.824,0.000,2214.772
21,"(None, None, 1)",1611.864,110.624,0.000,1611.864
22,"(None, None, 2)",617.189,127.464,0.000,617.189
