,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1405.470,99.323,335.658,1741.128
1,"(0, 0, 1)",1245.522,100.172,333.156,1578.678
2,"(0, 0, 2)",787.253,87.705,240.786,1028.039
3,"(0, 0, None)",713.766,147.735,590.940,1304.706
4,"(0, 1, 0)",688.541,100.832,318.954,1007.495
5,"(0, 1, 1)",688.541,100.832,318.954,1007.495
6,"(0, 1, 2)",687.808,88.291,243.960,931.768
7,"(0, 1, None)",688.541,100.832,318.954,1007.495
8,"(0, None, 0)",1285.670,102.285,344.988,1630.658
9,"(0, None, 1)",713.766,147.735,590.940,1304.706
10,"(0, None, 2)",710.006,102.717,321.678,1031.684
11,"(0, None, None)",713.766,147.735,590.940,1304.706
12,"(None, 0, 0)",1843.906,62.550,173.970,2017.876
13,"(None, 0, 1)",1615.828,65.484,170.064,1785.892
14,"(None, 0, 2)",1137.866,83.943,234.684,1372.550
15,"(None, 0, None)",1509.874,104.175,416.700,1926.574
16,"(None, 1, 0)",1490.321,84.609,250.362,1740.683
17,"(None, 1, 1)",1193.569,84.609,229.986,1423.555
18,"(None, 1, 2)",693.566,84.609,220.734,914.300
19,"(None, 1, None)",691.408,143.298,573.192,1264.600
20,"(None, None, 0)",2270.419,92.079,368.316,2638.735
21,"(None, None, 1)",1616.888,111.384,445.536,2062.424
22,"(None, None, 2)",694.339,143.397,573.588,1267.927
