,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1169.671,71.034,229.032,1398.703
1,"(0, 0, 1)",967.745,70.944,228.924,1196.669
2,"(0, 0, 2)",569.719,58.470,154.320,724.039
3,"(0, 0, None)",475.842,98.490,393.960,869.802
4,"(0, 1, 0)",459.026,67.868,216.516,675.542
5,"(0, 1, 1)",459.026,67.868,216.516,675.542
6,"(0, 1, 2)",458.537,60.184,170.580,629.117
7,"(0, 1, None)",459.026,67.868,216.516,675.542
8,"(0, None, 0)",1076.137,71.106,229.860,1305.997
9,"(0, None, 1)",475.842,98.490,393.960,869.802
10,"(0, None, 2)",473.335,68.478,214.452,687.787
11,"(0, None, None)",475.842,98.490,393.960,869.802
12,"(None, 0, 0)",1640.144,56.406,158.796,1798.940
13,"(None, 0, 1)",1371.406,55.314,143.004,1514.410
14,"(None, 0, 2)",842.999,55.962,144.936,987.935
15,"(None, 0, None)",1386.186,95.532,382.128,1768.314
16,"(None, 1, 0)",1238.396,56.406,147.156,1385.552
17,"(None, 1, 1)",843.484,56.406,147.156,990.640
18,"(None, 1, 2)",462.377,56.406,147.156,609.533
19,"(None, 1, None)",460.938,95.532,382.128,843.066
20,"(None, None, 0)",1840.968,74.586,298.344,2139.312
21,"(None, None, 1)",1375.310,94.548,378.192,1753.502
22,"(None, None, 2)",462.891,95.598,382.392,845.283
