,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1364.616,82.533,265.164,1629.780
1,"(0, 0, 1)",1129.034,82.428,265.038,1394.072
2,"(0, 0, 2)",664.674,68.215,180.040,844.714
3,"(0, 0, None)",555.149,114.905,459.620,1014.769
4,"(0, 1, 0)",535.530,78.856,250.662,786.192
5,"(0, 1, 1)",535.530,78.856,250.662,786.192
6,"(0, 1, 2)",534.961,69.553,195.040,730.001
7,"(0, 1, None)",535.530,78.856,250.662,786.192
8,"(0, None, 0)",1255.493,82.617,266.130,1521.623
9,"(0, None, 1)",555.149,114.905,459.620,1014.769
10,"(0, None, 2)",552.225,79.891,250.194,802.419
11,"(0, None, None)",555.149,114.905,459.620,1014.769
12,"(None, 0, 0)",1790.606,62.741,179.592,1970.198
13,"(None, 0, 1)",1507.093,61.110,159.544,1666.637
14,"(None, 0, 2)",983.499,65.289,169.092,1152.591
15,"(None, 0, None)",1574.108,108.388,433.552,2007.660
16,"(None, 1, 0)",1286.984,65.807,184.674,1471.658
17,"(None, 1, 1)",984.064,65.807,171.682,1155.746
18,"(None, 1, 2)",539.440,65.807,171.682,711.122
19,"(None, 1, None)",537.761,111.454,445.816,983.577
20,"(None, None, 0)",2217.072,89.894,359.576,2576.648
21,"(None, None, 1)",1511.876,103.691,414.764,1926.640
22,"(None, None, 2)",540.040,111.531,446.124,986.164
