,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1034.632,200.607,786.184,1820.816
1,"(0, 0, 1)",1034.632,200.607,786.186,1820.818
2,"(0, 0, 2)",1051.094,121.392,311.188,1362.282
3,"(0, 0, None)",1027.433,208.684,834.736,1862.169
4,"(0, 1, 0)",1022.383,158.759,536.252,1558.635
5,"(0, 1, 1)",1022.383,158.759,536.254,1558.637
6,"(0, 1, 2)",1019.448,129.824,363.214,1382.662
7,"(0, 1, None)",1022.383,158.759,536.256,1558.639
8,"(0, None, 0)",1027.433,208.684,834.736,1862.169
9,"(0, None, 1)",1027.433,208.684,834.736,1862.169
10,"(0, None, 2)",1023.209,149.770,482.102,1505.311
11,"(0, None, None)",1027.433,208.684,834.736,1862.169
12,"(None, 0, 0)",1335.020,111.473,251.402,1586.422
13,"(None, 0, 1)",1229.348,117.956,290.442,1519.790
14,"(None, 0, 2)",1129.222,113.784,265.342,1394.564
15,"(None, 0, None)",1235.282,208.657,834.628,2069.910
16,"(None, 1, 0)",1232.138,111.491,251.750,1483.888
17,"(None, 1, 1)",1125.956,111.381,251.444,1377.400
18,"(None, 1, 2)",1026.670,113.764,265.916,1292.586
19,"(None, 1, None)",1030.051,208.657,834.628,1864.679
20,"(None, None, 0)",1437.277,208.381,833.524,2270.801
21,"(None, None, 1)",1227.887,208.381,833.524,2061.411
22,"(None, None, 2)",1031.304,208.820,835.280,1866.584
