,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",2062.077,401.215,1574.934,3637.011
1,"(0, 0, 1)",2062.077,401.215,1574.936,3637.013
2,"(0, 0, 2)",2077.292,235.711,588.738,2666.030
3,"(0, 0, None)",2054.858,417.368,1669.472,3724.330
4,"(0, 1, 0)",2033.414,317.518,1077.484,3110.898
5,"(0, 1, 1)",2028.500,317.518,1079.362,3107.862
6,"(0, 1, 2)",2018.651,252.770,693.672,2712.323
7,"(0, 1, None)",2028.500,317.518,1079.360,3107.860
8,"(0, None, 0)",2054.858,417.368,1669.472,3724.330
9,"(0, None, 1)",2054.858,417.368,1669.472,3724.330
10,"(0, None, 2)",2037.179,299.540,968.220,3005.399
11,"(0, None, None)",2054.858,417.368,1669.472,3724.330
12,"(None, 0, 0)",2427.253,200.847,443.740,2870.993
13,"(None, 0, 1)",2302.031,220.346,540.612,2842.643
14,"(None, 0, 2)",2195.311,217.843,493.358,2688.669
15,"(None, 0, None)",2329.861,393.543,1574.172,3904.033
16,"(None, 1, 0)",2298.303,212.956,490.674,2788.977
17,"(None, 1, 1)",2178.243,212.821,467.792,2646.035
18,"(None, 1, 2)",2053.342,221.610,496.316,2549.658
19,"(None, 1, None)",2060.110,417.314,1669.256,3729.366
20,"(None, None, 0)",2541.298,368.485,1473.940,4015.238
21,"(None, None, 1)",2308.477,391.774,1567.096,3875.573
22,"(None, None, 2)",2062.611,417.639,1670.556,3733.167
