,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1655.408,320.972,1257.900,2913.308
1,"(0, 0, 1)",1655.408,320.972,1257.900,2913.308
2,"(0, 0, 2)",1681.750,190.585,476.048,2157.798
3,"(0, 0, None)",1643.889,333.894,1335.576,2979.465
4,"(0, 1, 0)",1635.809,254.015,858.008,2493.817
5,"(0, 1, 1)",1635.809,254.015,858.010,2493.819
6,"(0, 1, 2)",1631.113,204.093,559.396,2190.509
7,"(0, 1, None)",1635.809,254.015,858.010,2493.819
8,"(0, None, 0)",1643.889,333.894,1335.576,2979.465
9,"(0, None, 1)",1643.889,333.894,1335.576,2979.465
10,"(0, None, 2)",1637.133,239.632,771.364,2408.497
11,"(0, None, None)",1643.889,333.894,1335.576,2979.465
12,"(None, 0, 0)",2136.024,177.189,395.234,2531.258
13,"(None, 0, 1)",1966.951,187.513,457.404,2424.355
14,"(None, 0, 2)",1806.754,178.464,403.006,2209.760
15,"(None, 0, None)",1976.449,333.851,1335.404,3311.853
16,"(None, 1, 0)",1971.421,177.218,395.792,2367.213
17,"(None, 1, 1)",1801.533,177.041,395.300,2196.833
18,"(None, 1, 2)",1642.675,178.472,404.160,2046.835
19,"(None, 1, None)",1648.090,333.851,1335.404,2983.494
20,"(None, None, 0)",2299.637,333.410,1333.640,3633.277
21,"(None, None, 1)",1964.620,333.410,1333.640,3298.260
22,"(None, None, 2)",1650.090,334.112,1336.448,2986.538
