,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1862.331,361.093,1415.136,3277.467
1,"(0, 0, 1)",1862.331,361.093,1415.136,3277.467
2,"(0, 0, 2)",1891.969,213.650,531.008,2422.977
3,"(0, 0, None)",1849.372,375.631,1502.524,3351.896
4,"(0, 1, 0)",1840.281,285.766,965.254,2805.535
5,"(0, 1, 1)",1840.281,285.766,965.256,2805.537
6,"(0, 1, 2)",1834.999,228.850,624.790,2459.789
7,"(0, 1, None)",1840.281,285.766,965.254,2805.535
8,"(0, None, 0)",1849.372,375.631,1502.524,3351.896
9,"(0, None, 1)",1849.372,375.631,1502.524,3351.896
10,"(0, None, 2)",1841.773,269.586,867.784,2709.557
11,"(0, None, None)",1849.372,375.631,1502.524,3351.896
12,"(None, 0, 0)",2374.994,196.621,436.332,2811.326
13,"(None, 0, 1)",2212.822,210.699,513.062,2725.884
14,"(None, 0, 2)",2032.602,200.023,448.884,2481.486
15,"(None, 0, None)",2223.510,375.582,1502.328,3725.838
16,"(None, 1, 0)",2217.847,199.127,443.806,2661.653
17,"(None, 1, 1)",2026.718,198.928,443.254,2469.972
18,"(None, 1, 2)",1848.006,200.041,450.236,2298.242
19,"(None, 1, None)",1854.097,375.582,1502.328,3356.425
20,"(None, None, 0)",2529.510,366.685,1466.740,3996.250
21,"(None, None, 1)",2210.195,375.086,1500.344,3710.539
22,"(None, None, 2)",1856.350,375.876,1503.504,3359.854
