,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1241.556,240.729,943.426,2184.982
1,"(0, 0, 1)",1241.556,240.729,943.426,2184.982
2,"(0, 0, 2)",1261.312,144.456,366.140,1627.452
3,"(0, 0, None)",1232.916,250.420,1001.680,2234.596
4,"(0, 1, 0)",1226.855,190.511,643.502,1870.357
5,"(0, 1, 1)",1226.855,190.511,643.504,1870.359
6,"(0, 1, 2)",1223.333,154.580,428.610,1651.943
7,"(0, 1, None)",1226.855,190.511,643.502,1870.357
8,"(0, None, 0)",1232.916,250.420,1001.680,2234.596
9,"(0, None, 1)",1232.916,250.420,1001.680,2234.596
10,"(0, None, 2)",1227.849,179.724,578.524,1806.373
11,"(0, None, None)",1232.916,250.420,1001.680,2234.596
12,"(None, 0, 0)",1602.020,133.379,299.346,1901.366
13,"(None, 0, 1)",1475.214,141.142,346.096,1821.310
14,"(None, 0, 2)",1355.067,135.344,311.226,1666.293
15,"(None, 0, None)",1482.339,250.388,1001.552,2483.891
16,"(None, 1, 0)",1478.566,133.400,299.762,1778.328
17,"(None, 1, 1)",1351.147,133.268,299.396,1650.543
18,"(None, 1, 2)",1232.005,135.333,311.990,1543.995
19,"(None, 1, None)",1236.064,250.388,1001.552,2237.616
20,"(None, None, 0)",1724.731,250.058,1000.232,2724.963
21,"(None, None, 1)",1473.465,250.058,1000.232,2473.697
22,"(None, None, 2)",1237.569,250.584,1002.336,2239.905
