,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1862.331,361.093,1415.136,3277.467
1,"(0, 0, 1)",1862.331,361.093,1559.573,3421.904
2,"(0, 0, 2)",1891.969,213.650,605.423,2497.392
3,"(0, 0, None)",1849.372,375.631,751.262,2600.634
4,"(0, 1, 0)",1840.281,285.766,1043.998,2884.279
5,"(0, 1, 1)",1840.281,285.766,1158.307,2998.588
6,"(0, 1, 2)",1834.999,228.850,814.114,2649.113
7,"(0, 1, None)",1840.281,285.766,472.466,2312.747
8,"(0, None, 0)",1849.372,375.631,751.262,2600.634
9,"(0, None, 1)",1849.372,375.631,901.514,2750.886
10,"(0, None, 2)",1841.773,269.586,460.057,2301.830
11,"(0, None, None)",1849.372,375.631,-0.000,1849.372
12,"(None, 0, 0)",2382.915,197.692,45.232,2428.147
13,"(None, 0, 1)",2212.822,210.699,103.035,2315.857
14,"(None, 0, 2)",2032.602,200.023,53.641,2086.243
15,"(None, 0, None)",2223.510,375.582,0.000,2223.510
16,"(None, 1, 0)",2217.847,199.127,48.538,2266.385
17,"(None, 1, 1)",2026.718,198.928,54.478,2081.196
18,"(None, 1, 2)",1848.006,200.041,62.793,1910.799
19,"(None, 1, None)",1854.097,375.582,0.000,1854.097
20,"(None, None, 0)",2520.490,365.409,-0.000,2520.490
21,"(None, None, 1)",2210.195,375.086,0.000,2210.195
22,"(None, None, 2)",1856.350,375.876,-0.000,1856.350
