,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1655.408,320.972,1257.900,2913.308
1,"(0, 0, 1)",1655.408,320.972,1386.289,3041.697
2,"(0, 0, 2)",1681.750,190.585,542.734,2224.484
3,"(0, 0, None)",1643.889,333.894,667.788,2311.677
4,"(0, 1, 0)",1635.809,254.015,928.004,2563.813
5,"(0, 1, 1)",1635.809,254.015,1029.612,2665.421
6,"(0, 1, 2)",1631.113,204.093,728.490,2359.603
7,"(0, 1, None)",1635.809,254.015,419.976,2055.785
8,"(0, None, 0)",1643.889,333.894,667.788,2311.677
9,"(0, None, 1)",1643.889,333.894,801.346,2445.235
10,"(0, None, 2)",1637.133,239.632,408.940,2046.073
11,"(0, None, None)",1643.889,333.894,-0.000,1643.889
12,"(None, 0, 0)",2136.024,177.189,40.856,2176.880
13,"(None, 0, 1)",1966.951,187.513,92.575,2059.526
14,"(None, 0, 2)",1806.754,178.464,50.881,1857.635
15,"(None, 0, None)",1976.449,333.851,0.000,1976.449
16,"(None, 1, 0)",1971.421,177.218,44.097,2015.518
17,"(None, 1, 1)",1801.533,177.041,49.462,1850.995
18,"(None, 1, 2)",1642.675,178.472,59.241,1701.916
19,"(None, 1, None)",1648.090,333.851,0.000,1648.090
20,"(None, None, 0)",2299.637,333.410,-0.000,2299.637
21,"(None, None, 1)",1964.620,333.410,-0.000,1964.620
22,"(None, None, 2)",1650.090,334.112,0.000,1650.090
