,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1448.480,280.850,1100.662,2549.142
1,"(0, 0, 1)",1448.480,280.850,1213.000,2661.480
2,"(0, 0, 2)",1471.530,167.521,480.058,1951.588
3,"(0, 0, None)",1438.400,292.157,584.314,2022.714
4,"(0, 1, 0)",1431.330,222.263,812.002,2243.332
5,"(0, 1, 1)",1431.330,222.263,900.907,2332.237
6,"(0, 1, 2)",1427.222,179.337,642.867,2070.089
7,"(0, 1, None)",1431.330,222.263,367.476,1798.806
8,"(0, None, 0)",1438.400,292.157,584.314,2022.714
9,"(0, None, 1)",1438.400,292.157,701.177,2139.577
10,"(0, None, 2)",1432.488,209.678,357.826,1790.314
11,"(0, None, None)",1438.400,292.157,-0.000,1438.400
12,"(None, 0, 0)",1869.021,155.284,36.722,1905.743
13,"(None, 0, 1)",1721.082,164.327,82.120,1803.202
14,"(None, 0, 2)",1580.912,156.904,48.106,1629.018
15,"(None, 0, None)",1729.396,292.120,0.000,1729.396
16,"(None, 1, 0)",1724.993,155.309,39.656,1764.649
17,"(None, 1, 1)",1576.340,155.154,44.446,1620.786
18,"(None, 1, 2)",1437.341,156.902,55.676,1493.017
19,"(None, 1, None)",1442.079,292.120,-0.000,1442.079
20,"(None, None, 0)",2012.179,291.734,0.000,2012.179
21,"(None, None, 1)",1719.040,291.734,0.000,1719.040
22,"(None, None, 2)",1443.828,292.348,-0.000,1443.828
