,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1241.556,240.729,943.426,2184.982
1,"(0, 0, 1)",1241.556,240.729,1039.718,2281.274
2,"(0, 0, 2)",1261.312,144.456,417.368,1678.680
3,"(0, 0, None)",1232.916,250.420,500.840,1733.756
4,"(0, 1, 0)",1226.855,190.511,695.998,1922.853
5,"(0, 1, 1)",1226.855,190.511,772.205,1999.060
6,"(0, 1, 2)",1223.333,154.580,557.243,1780.576
7,"(0, 1, None)",1226.855,190.511,314.976,1541.831
8,"(0, None, 0)",1232.916,250.420,500.840,1733.756
9,"(0, None, 1)",1232.916,250.420,601.008,1833.924
10,"(0, None, 2)",1227.849,179.724,306.706,1534.555
11,"(0, None, None)",1232.916,250.420,-0.000,1232.916
12,"(None, 0, 0)",1602.020,133.379,32.588,1634.608
13,"(None, 0, 1)",1475.214,141.142,71.663,1546.877
14,"(None, 0, 2)",1355.067,135.344,45.336,1400.403
15,"(None, 0, None)",1482.339,250.388,0.000,1482.339
16,"(None, 1, 0)",1478.566,133.400,35.212,1513.778
17,"(None, 1, 1)",1351.147,133.268,39.432,1390.579
18,"(None, 1, 2)",1232.005,135.333,52.116,1284.121
19,"(None, 1, None)",1236.064,250.388,-0.000,1236.064
20,"(None, None, 0)",1724.731,250.058,-0.000,1724.731
21,"(None, None, 1)",1473.465,250.058,-0.000,1473.465
22,"(None, None, 2)",1237.569,250.584,-0.000,1237.569
