,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1034.632,200.607,786.184,1820.816
1,"(0, 0, 1)",1034.632,200.607,866.429,1901.061
2,"(0, 0, 2)",1051.094,121.392,354.687,1405.781
3,"(0, 0, None)",1027.433,208.684,417.368,1444.801
4,"(0, 1, 0)",1022.383,158.759,579.999,1602.382
5,"(0, 1, 1)",1022.383,158.759,643.505,1665.888
6,"(0, 1, 2)",1019.448,129.824,471.616,1491.064
7,"(0, 1, None)",1022.383,158.759,262.486,1284.869
8,"(0, None, 0)",1027.433,208.684,417.368,1444.801
9,"(0, None, 1)",1027.433,208.684,500.842,1528.275
10,"(0, None, 2)",1023.209,149.770,255.587,1278.796
11,"(0, None, None)",1027.433,208.684,0.000,1027.433
12,"(None, 0, 0)",1335.020,111.473,28.456,1363.476
13,"(None, 0, 1)",1229.348,117.956,61.208,1290.556
14,"(None, 0, 2)",1129.222,113.784,42.571,1171.793
15,"(None, 0, None)",1235.282,208.657,0.000,1235.282
16,"(None, 1, 0)",1232.138,111.491,30.773,1262.911
17,"(None, 1, 1)",1125.956,111.381,34.418,1160.374
18,"(None, 1, 2)",1026.670,113.764,48.567,1075.237
19,"(None, 1, None)",1030.051,208.657,0.000,1030.051
20,"(None, None, 0)",1437.277,208.381,-0.000,1437.277
21,"(None, None, 1)",1227.887,208.381,-0.000,1227.887
22,"(None, None, 2)",1031.304,208.820,0.000,1031.304
